Numbers,Total,Male_Hisp,Male_White,Male_Black,Male_Other,Female_Hisp,Female_White,Female_Black,Female_Other
Total,308745538,25618800,97017621,18068911,11075994,24858794,100301335,19853611,11950472
0,3944153,515475,1020590,274837,203374,496916,969875,267650,195436
1,3978070,515332,1033698,279656,202167,495476,985201,272165,194375
2,4096929,531964,1065258,287037,207939,509683,1013718,280124,201206
3,4119040,531165,1081166,288009,204210,509891,1027835,278783,197981
4,4063170,515411,1083851,279485,198803,493175,1025826,272571,194048
5,4056858,504116,1092670,277077,198231,482841,1037744,268338,195841
6,4066381,491798,1113297,275867,194357,473577,1057095,268019,192371
7,4030579,484023,1107642,276146,189265,466336,1050738,268844,187585
8,4046486,479238,1118940,283753,183522,461227,1062932,275207,181667
9,4148353,483468,1151524,295182,189522,464147,1092694,285659,186157
10,4172541,479445,1170734,301382,184435,458549,1107211,290345,180440
11,4114415,463814,1166716,294619,178115,446199,1104610,285558,174784
12,4106243,458046,1165899,297596,178604,438909,1105544,287040,174605
13,4118013,454961,1178377,295332,176244,434869,1117353,287171,173706
14,4165982,456078,1200338,302272,176855,434372,1132605,291924,171538
15,4242820,458200,1222695,319150,176977,435645,1151761,307587,170805
16,4316139,462990,1241730,334677,176637,436670,1170361,322345,170729
17,4395295,469765,1268667,346960,177761,437120,1193158,330686,171178
18,4500855,477271,1295479,349530,183193,440841,1237535,339245,177761
19,4585234,477847,1326148,349549,188440,435806,1278989,344875,183580
20,4519129,472475,1313079,337531,185234,422657,1268332,337170,182651
21,4354294,456075,1272522,311801,182800,402046,1232055,315712,181283
22,4264642,457915,1251912,292372,175598,398898,1214788,298115,175044
23,4198571,454048,1237654,278048,171049,396053,1200865,287898,172956
24,4249363,461784,1254330,274198,173751,400324,1221171,286128,177677
25,4262350,462250,1255291,268199,175568,404557,1227790,284324,184371
26,4152305,446615,1220883,256376,173214,396920,1196456,275596,186245
27,4248869,460145,1244243,260095,176168,410993,1222497,281686,193042
28,4215249,452871,1236196,256150,173388,410130,1213412,279330,193772
29,4223076,454253,1234913,258878,169895,411737,1216214,284754,192432
30,4285668,466872,1251710,267584,174636,417803,1219907,291270,195886
31,3970218,419684,1162560,243280,162631,387603,1140779,270461,183220
32,3986847,427842,1164525,240309,161800,397018,1145887,267386,182080
33,3880150,416567,1127787,231164,161345,390880,1111485,259375,181547
34,3839216,412085,1111855,228232,164032,388129,1097077,255920,181886
35,3956434,419012,1158075,234638,169191,392130,1135891,261800,185697
36,3802087,391028,1111473,225006,163088,375097,1099394,254822,182179
37,3934445,390897,1158715,237048,166726,376518,1150483,267914,186144
38,4121880,385225,1253845,244967,165683,371293,1240251,275512,185104
39,4364796,384590,1359738,256702,166375,370550,1349657,291030,186154
40,4383274,389923,1377020,258931,165375,367265,1355031,285909,183820
41,4114985,354286,1300778,238204,154550,337210,1292403,265431,172123
42,4076104,349789,1291720,241184,145960,333576,1279949,269731,164195
43,4105105,335567,1317473,242110,140840,322078,1317835,272529,156673
44,4211496,334088,1358467,254141,143571,318618,1359006,283443,160162
45,4508868,336656,1483320,268324,149150,322819,1484161,299073,165365
46,4519761,315126,1506482,261315,148059,309219,1520059,292773,166728
47,4535265,303702,1525536,261136,147874,299901,1541281,292312,163523
48,4538796,289020,1555771,256600,136343,284415,1574682,289736,152229
49,4605901,280465,1585222,261558,137426,280751,1610104,294444,155931
50,4660295,278601,1614035,267940,139778,274699,1627654,300372,157216
51,4464631,247710,1561318,251350,130388,250618,1590207,283924,149116
52,4500846,240770,1586694,249522,130260,245417,1618520,281302,148361
53,4380354,226272,1548477,240711,125894,233237,1584984,276221,144558
54,4291999,217594,1519882,232803,123275,226536,1560854,267591,143464
55,4254709,207675,1517970,226351,121477,217917,1560593,260907,141819
56,4037513,187354,1450866,206364,111557,199581,1508220,243166,130405
57,3936386,174543,1426515,195922,108375,188134,1483251,231705,127941
58,3794928,162994,1387214,185538,99062,175452,1444462,222220,117986
59,3641269,156582,1317474,181346,98469,171200,1379613,218458,118127
60,3621131,149517,1319587,176358,100045,165131,1378462,212556,119475
61,3492596,136009,1288698,161865,92505,152183,1354421,197171,109744
62,3563182,131917,1339001,153783,87991,147773,1409898,188200,104619
63,3483884,121421,1328632,140098,82178,138167,1402775,172006,98607
64,2657131,106697,976898,115141,69159,123570,1040394,144237,81035
65,2680761,101117,990921,113608,67664,117909,1064474,144359,80709
66,2639141,91573,988989,105758,61956,109843,1072176,135617,73229
67,2649365,85631,1001009,102191,60075,106090,1090865,133380,70124
68,2323672,77384,863965,90904,55043,94726,955115,121126,65409
69,2142324,73197,785066,84311,52185,91106,880849,114071,61539
70,2043121,70477,743580,81285,50269,88543,838451,110928,59588
71,1949323,64418,716697,73636,45397,82396,812504,100888,53387
72,1864275,60739,680125,69653,43209,78603,782779,97526,51641
73,1736960,56458,628763,63004,39638,73724,736389,90916,48068
74,1684487,53670,605451,61106,36397,71114,720587,90119,46043
75,1620077,50249,580233,56793,33733,67958,702436,85422,43253
76,1471070,44643,523160,50005,29996,61261,644329,77801,39875
77,1455330,41264,514521,47841,28258,58571,649691,76422,38762
78,1400123,39465,496860,41127,25006,55247,639474,67931,35013
79,1371195,37719,479258,38469,23788,54431,637016,65788,34726
80,1308511,35381,450230,35992,21956,51263,617255,63995,32439
81,1212865,30732,413980,31213,18945,45941,585264,57879,28911
82,1161421,27370,389620,28581,17412,42201,574438,54868,26931
83,1074809,24265,354246,25845,15475,38371,541870,50264,24473
84,985721,21298,315608,22742,13483,34666,508641,47036,22247
85,914723,18600,285859,20158,12202,31118,483991,42546,20249
86,814211,16430,248952,17091,10647,26403,439910,37463,17315
87,712908,13833,211954,14781,9235,22864,391609,33463,15169
88,640619,10911,186954,11859,7712,20066,361302,29282,12533
89,537998,8637,152005,9775,6272,16566,308352,25176,11215
90,435563,6878,116834,8217,5019,13581,253821,22106,9107
91,344987,4872,89261,6005,3661,10135,207268,16871,6914
92,281389,3933,69792,4496,2851,8337,172276,14032,5672
93,216978,2775,50503,3501,2258,6457,135425,11472,4587
94,169449,2238,37033,2569,1691,5323,107620,9400,3575
95,129717,1611,26063,2046,1231,4069,84256,7702,2739
96,95223,1265,17727,1522,910,3179,62545,6126,1949
97,68138,854,11914,1094,694,2479,44847,4749,1507
98,45900,637,7443,721,458,1723,30658,3234,1026
99,32266,451,4688,615,319,1296,21484,2594,819
100+,53364,907,6582,1108,565,2182,35373,5303,1344
