"","id","Posterior Mean","Posterior Median"
"1",2594,90.404,90.55
"2",1031,224.679,225.683
"3",2572,90.184,93.495
"4",1236,194.613,202.25
"5",3946,197.945,197.957
"6",1013,259.916,264.264
"7",2395,205.452,208.683
"8",104,189.542,194.423
"9",224,159.372,162.609
"10",250,179.113,182.918
"11",641,231.574,236.071
"12",2464,219.495,222.312
"13",3357,249.941,254.82
"14",1232,248.135,246.797
"15",1562,101.001,102.308
"16",2126,323.694,325.983
"17",2351,257.408,267.932
"18",2877,138.231,139.213
"19",4382,381.922,384.792
"20",1981,245.952,247.102
"21",2483,389.85,397.096
"22",3557,239.446,243.865
"23",2397,351.267,356.575
"24",878,267.231,270.313
"25",4486,355.411,364.044
"26",1684,462.805,465.588
"27",2269,223.175,226.838
"28",253,261.736,269.822
"29",1029,410.095,411.798
"30",1872,212.987,219.273
"31",2782,416.202,425.942
"32",1169,90.086,91.253
"33",1843,275.898,275.454
"34",2227,279.883,285.051
"35",4041,350.554,361.522
"36",369,233.053,239.417
"37",1432,453.452,453.471
"38",2961,341.958,340.135
"39",3328,329.017,332.136
"40",3760,328.487,334.002
"41",4047,297.228,298.338
"42",1605,283.722,288.392
"43",1690,444.736,451.43
"44",3526,383.206,392.847
"45",27,336.826,338.612
"46",2866,400.614,406.794
"47",3331,346.692,347.136
"48",4083,259.957,264.445
"49",4315,264.294,263.146
"50",2401,303.47,299.276
"51",2656,425.466,428.522
"52",3123,290.823,293.004
"53",4414,502.296,501.603
"54",2898,342.951,350.365
"55",3103,288.167,286.593
"56",930,497.476,494.204
"57",2437,516.538,529.138
"58",3142,382.159,382.139
"59",4043,469.29,474.327
"60",903,330.15,327.269
"61",1911,297.382,302.413
"62",2432,436.739,436.384
"63",2927,469.87,473.565
"64",3220,282.912,283.273
"65",3517,383.995,389.784
"66",3547,727.261,729.067
"67",3688,492.894,497.267
"68",3793,408.165,414.057
"69",3909,425.207,425.068
"70",4022,295.731,291.24
"71",666,415.471,420.781
"72",884,270.74,271.402
"73",947,377.293,379.102
"74",2296,484.261,484.848
"75",3127,392.583,399.665
"76",3344,294.982,301.087
"77",3534,503.635,503.506
"78",4116,451.026,447.96
"79",377,338.895,338.301
"80",1742,337.416,344.656
"81",2377,536.712,543.271
"82",2777,306.809,309.714
"83",2933,331.946,339.848
"84",1047,255.205,254.858
"85",1935,394.571,393.859
"86",3037,401.214,401.249
"87",3072,290.791,295.974
"88",3748,344.238,342.207
"89",4149,286.871,290.407
"90",371,446.207,451.594
"91",1424,373.041,377.948
"92",1674,522.979,520.68
"93",2127,442.816,444.694
"94",3200,207.457,206.5
"95",3267,453.59,452.348
"96",3891,413.329,422.586
"97",4445,345.041,346.894
"98",4465,492.105,502.643
"99",1254,309.311,314.69
"100",1649,410.73,410.142
"101",1672,533.947,541.8
"102",2732,358.217,351.681
"103",2900,406.078,407.79
"104",3411,626.758,647.701
"105",3612,449.54,459.315
"106",4106,402.523,401.389
"107",4340,352.154,353.204
"108",674,443.621,451.142
"109",2262,636.801,650.927
"110",4404,678.816,686.562
"111",1215,478.784,483.706
"112",1379,533.405,536.451
"113",1779,422.508,422.047
"114",2072,817.202,822.576
"115",2196,327.563,330.084
"116",2934,364.907,364.924
"117",3302,559.008,560.557
"118",1771,368.061,375.762
"119",1943,520.853,518.563
"120",2479,228.69,226.463
"121",2794,363.132,358.737
"122",2936,528.34,531.938
"123",488,332.663,338.582
"124",979,380.859,380.316
"125",1196,340.278,338.095
"126",1395,396.211,395.545
"127",2091,309.441,316.124
"128",2199,308.349,308.642
"129",2650,482.06,486.094
"130",3076,311.214,314.375
"131",4368,592.463,599.717
"132",280,405.974,411.05
"133",349,501.989,508.88
"134",491,431.092,438.585
"135",1130,338.616,338.637
"136",1632,395.512,399.79
"137",1698,549.249,557.331
"138",1848,653.84,672.134
"139",1966,413.204,405.807
"140",3221,399.822,400.953
"141",3256,629.273,636.797
"142",436,514.955,522.21
"143",458,424.69,425.985
"144",1006,520.324,525.063
"145",1217,391.581,390.027
"146",2356,547.638,564.053
"147",2580,437.428,433.075
"148",2760,231.666,233.73
"149",2856,518.102,515.021
"150",4118,801.807,810.357
"151",132,447.114,446.601
"152",432,393.035,397.006
"153",974,270.101,265.625
"154",1128,531.303,536.016
"155",2685,562.11,572.426
"156",3782,426.757,426.754
"157",4056,401.54,405.728
"158",691,419.53,420.435
"159",3351,425.84,423.681
"160",3437,554.709,554.175
"161",3614,328.635,339.168
"162",3822,435.232,436.26
"163",3935,512.424,512.286
"164",3995,720.994,727.432
"165",4390,504.224,506.748
"166",4399,449.971,459.532
"167",111,514.782,517.119
"168",1746,381.996,394.804
"169",1772,414.67,420.699
"170",1786,553.309,559.135
"171",2042,505.688,505.831
"172",2558,454.807,462.991
"173",2653,693.16,695.748
"174",2948,435.79,434.305
"175",517,606.327,615.727
"176",561,359.166,360.682
"177",1024,494.468,498.152
"178",1105,583.565,588.87
"179",1375,496.052,498.927
"180",1875,551.731,552.7
"181",2107,482.347,492.364
"182",2905,791.06,802.09
"183",3397,796.145,803.701
"184",3758,453.644,459.667
"185",3813,546.997,548.51
"186",4505,369.228,369.474
"187",196,728.818,731.773
"188",333,934.949,946.836
"189",403,479.589,479.035
"190",493,500.136,511.592
"191",744,456.04,465.097
"192",939,455.924,458.912
"193",982,498.558,499.997
"194",1200,449.249,460.837
"195",2175,376.342,377.697
"196",2303,557.107,554.265
"197",2882,594.073,586.268
"198",2957,493.299,496.585
"199",2984,376.878,375.033
"200",3140,668.732,675.069
"201",3268,438.833,441.71
"202",3720,355.821,362.92
"203",81,515.403,517.921
"204",810,691.55,692.449
"205",811,296.636,301.647
"206",902,378.036,383.044
"207",2341,712.852,720.143
"208",2412,398.261,403.444
"209",2660,457.974,456.977
"210",2789,570.698,573.465
"211",2889,257.343,262.902
"212",3111,603.828,612.527
"213",4157,628.491,636.254
"214",4183,549.713,550.349
"215",484,594.369,589.473
"216",746,583.646,582.295
"217",792,841.044,850.781
"218",1020,590.335,588.239
"219",1704,482.827,494.762
"220",2340,649.279,662.596
"221",3664,162.709,160.405
"222",3719,564.669,570.123
"223",3749,335.449,337.974
"224",3868,795.748,799.309
"225",4224,471.931,474.138
"226",4423,458.625,463.547
"227",107,606.662,611.936
"228",332,388.432,393.394
"229",410,817.229,819.613
"230",706,387.42,396.397
"231",1671,690.318,700.45
"232",1738,521.1,522.691
"233",2101,606.376,611.501
"234",2128,755.46,765.119
"235",2302,382.376,386.95
"236",2380,430.693,433.429
"237",3646,708.022,708.026
"238",3772,532.749,540.489
"239",3924,221.913,226.784
"240",675,545.581,554.823
"241",1051,376.78,374.624
"242",2774,558.371,560.503
"243",3045,401.098,406.365
"244",4025,490.839,494.333
"245",633,416.476,419.23
"246",806,616.55,620.464
"247",807,551.324,557.291
"248",846,455.469,458.323
"249",1093,278.152,274.958
"250",1322,518.645,515.672
"251",1762,887.604,895.668
"252",2071,584.899,591.972
"253",2575,585.354,586.277
"254",3100,270.105,273.249
"255",3225,696.854,697.25
"256",4244,614.408,618.457
"257",4348,517.749,515.021
"258",559,693.738,697.609
"259",1148,666.569,678.041
"260",1835,579.308,595.771
"261",2323,698.96,698.642
"262",2831,659.03,665.129
"263",3048,526.341,545.932
"264",3323,769.42,776.523
"265",3439,719.546,711.85
"266",3982,306.423,303.446
"267",4225,659.903,664.466
"268",4370,431.651,434.886
"269",830,930.11,943.151
"270",1473,559.722,566.783
"271",1616,451.799,451.217
"272",2202,670.036,675.786
"273",2208,338.685,347.529
"274",2252,394.99,399.772
"275",2253,259.314,259.78
"276",3560,687.131,692.363
"277",3979,454.598,466.241
"278",4277,494.443,491.043
"279",260,648.32,656.449
"280",861,278.656,280.559
"281",3371,486.166,490.399
"282",3863,568.133,570.252
"283",3985,500.336,511.439
"284",4354,588.224,589.241
"285",4440,749.31,758.175
"286",178,327.043,327.652
"287",425,544.21,544.05
"288",466,389.284,388.045
"289",524,589.807,597.448
"290",1331,581.15,576.009
"291",1662,708.507,707.838
"292",2154,422.082,422.525
"293",2210,742.785,748.186
"294",2624,773.66,796.038
"295",2841,452.648,457.923
"296",2912,600.811,601.093
"297",3716,478.064,477.185
"298",4099,854.398,861.412
"299",4426,411.811,412.414
"300",554,353.491,356.76
"301",1446,518.149,516.39
"302",1565,508.886,514.466
"303",1780,690.615,692.187
"304",1952,234.845,236.578
"305",3024,610.148,627.123
