"","id","Posterior Mean","Posterior Median"
"1",2594,92.109,95.245
"2",1031,204.064,203.948
"3",2572,93.462,93.896
"4",1236,204.9,205.377
"5",3946,208.766,213.161
"6",1013,272.434,276.338
"7",2395,214.529,222.393
"8",104,197.525,197.651
"9",224,125.125,124.095
"10",250,150.188,153.537
"11",641,238.932,244.997
"12",2464,227.08,230.41
"13",3357,257.499,257.419
"14",1232,251.445,254.731
"15",1562,108.397,110.964
"16",2126,334.031,339.514
"17",2351,251.146,253.42
"18",2877,143.581,145.499
"19",4382,369.252,372.956
"20",1981,246.76,246.13
"21",2483,380.864,389.791
"22",3557,248.167,253.188
"23",2397,350.352,354.694
"24",878,240.592,246.698
"25",4486,319.209,316.939
"26",1684,439.31,440.428
"27",2269,217.818,218.093
"28",253,267.941,272.482
"29",1029,361.476,354.099
"30",1872,219.51,224.075
"31",2782,423.508,428.202
"32",1169,92.805,95.134
"33",1843,296.432,298.146
"34",2227,292.541,298.124
"35",4041,380.078,376.206
"36",369,202.225,208.408
"37",1432,415.337,424.507
"38",2961,367.92,368.571
"39",3328,351.729,360.375
"40",3760,317.868,317.681
"41",4047,278.532,277.58
"42",1605,295.773,297.273
"43",1690,433.264,431.33
"44",3526,377.055,385.769
"45",27,329.094,334.407
"46",2866,414.178,417.758
"47",3331,340.694,339.294
"48",4083,267.552,270.06
"49",4315,276.14,278.96
"50",2401,313.596,323.569
"51",2656,425.744,429.347
"52",3123,271.215,274.639
"53",4414,474.762,486.928
"54",2898,364.434,368.712
"55",3103,300.644,304.021
"56",930,514.734,514.9
"57",2437,525.187,526.583
"58",3142,391.495,393.627
"59",4043,424.301,435.314
"60",903,339.482,337.419
"61",1911,314.858,320.422
"62",2432,455.879,463.319
"63",2927,489.84,491.963
"64",3220,267.166,274.629
"65",3517,364.267,375.288
"66",3547,768.589,769.346
"67",3688,493.672,504.878
"68",3793,443.985,449.559
"69",3909,429.673,440.894
"70",4022,258.72,259.083
"71",666,432.49,439.594
"72",884,254.181,255.671
"73",947,365.2,366.39
"74",2296,467.514,465.254
"75",3127,390.858,399.335
"76",3344,294.367,300.275
"77",3534,533.697,536.586
"78",4116,460.75,466.348
"79",377,359.914,371.995
"80",1742,358.691,367.322
"81",2377,542.101,539.035
"82",2777,312.139,318.873
"83",2933,336.543,338.178
