case_id,Linda,Jennifer,Karen,Kimberly,Emily,Stephanie,Mark,Jacob,Kevin,Kyle,Adam,Bruce,Professor,ChildcareWorker,Police,Lawyer,SocialWorker,Electrician,Cosmetologist,Bartender,Unemployed,Food_Stamps,Multiple_Job,Load_Debt,No_Health_Insurance,Active_Military,Veteran,Immigrant,Gay,Single_Parent,Black,Non_Religious,Evangelical,Muslims,Incarcerated,Abortion,Injured_Military,Miscarriage,Partner_Abuse,Sexual_Assault,Mental_Health,Heart_Disease,Diabetes,Allergy_Peanut,Allergy_Tree_Nu,Allergy_Lettuce,Allergy_Gluten,Allergy_Water,Cancer_Breast,Cancer_Prostate,Leukemia,Cancer_Lung,Cancer_Colon,Gender,Age,Race,Education,ppincimp,ppmarit,pphhhead,pphhsize,ppt18ov,ppt1317,ppt612,ppt25,ppt01,pptsu,pptsu21,pptsu22,pptsu23,pptsu24,pptsu25,pptsu26,ppwork,pprent,pphouse,ppnet,ppreg4,age,wmid1,wgt,ppp20063,ppp20064,ppp20068,ppp20197,ppp20198,ppp20200,ppp20217
1,1,0,0,1,1,0,0,3,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,55-59 years    (57.0),"White, Non-Hispanic",HS grad,92.5,Married,Your name only/Your name with someone else's name (jointly owned or rented),Three,Two,One,None,None,None,One,Yes,Yes,No,No,Yes,No,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,NorthEast,56,0.942229986,0.94223,Heterosexual or straight,No,"I was on active duty in the past, but not now",Yes,Born a U.S. citizen,Not asked, 
2,2,3,3,2,1,2,3,1,4,2,1,1,0,3,2,1,1,0,2,0,1,0,3,3,0,1,6,1,5,4,3,10,0,0,0,1,1,6,3,1,1,1,2,1,1,0,2,0,1,0,1,0,0,Female,40-44 years    (42.0),"White, Non-Hispanic",Bachelor's degree,32.5,Living with partner,Your name only/Your name with someone else's name (jointly owned or rented),Three,Two,None,None,One,None,One,Yes,No,No,Yes,No,Yes,Not working - other,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,West,42,0.556720018,0.55672,Heterosexual or straight,Yes,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
3,2,1,2,1,1,3,3,1,1,1,2,1,5,0,2,3,1,1,1,0,1,0,0,2,3,0,3,0,3,0,4,10,0,0,0,1,0,1,2,5,1,3,2,0,0,0,0,0,2,0,0,0,0,Male,55-59 years    (57.0),"White, Non-Hispanic",Bachelor's degree,112.5,Married,Your name only/Your name with someone else's name (jointly owned or rented),Four,Four,None,None,None,None,,No,No,No,No,No,No,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,NorthEast,57,0.816779971,0.81678,Heterosexual or straight,Yes,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
4,0,0,1,1,1,1,2,2,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,3,0,0,0,35,20,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,Male,60-64 years    (62.0),"Black, Non-Hispanic",Associate degree,"$75,000 to $84,999  (80)",Married,Your name only/Your name with someone else's name (jointly owned or rented),Five,Five,None,None,None,None,,No,No,No,No,No,No,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,West,61,1.422230005,1.42223,Heterosexual or straight,No,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
5,1,0,1,2,1,2,1,0,1,1,1,0,0,0,1,2,1,0,0,0,0,1,1,1,6,0,1,0,0,0,100,20,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,3,1,0,1,0,Female,70-74 years    (72.0),"Black, Non-Hispanic",HS grad,"$40,000 to $49,999  (45)",Divorced,Your name only/Your name with someone else's name (jointly owned or rented),One,One,None,None,None,None,,No,No,No,No,No,No,Not working - retired,Owned or being bought by you or someone in your household,A one-family house attached to one or more houses,Yes,MidWest,70,1.559880018,1.55988,Heterosexual or straight,No,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
6,2,2,3,1,1,1,4,0,2,1,0,3,3,0,10,2,3,2,0,0,0,0,2,0,4,10,10,0,0,2,10,5,1,0,0,0,5,0,0,0,0,10,5,0,0,0,0,0,8,10,5,8,5,Male,70-74 years    (72.0),"White, Non-Hispanic",HS grad,67.5,Married,Your name only/Your name with someone else's name (jointly owned or rented),Two,Two,None,None,None,None,,No,No,No,No,No,No,Not working - retired,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,NorthEast,73,1.138419986,1.13842,Heterosexual or straight,No,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
7,,1,1,1,1,,1,1,,1,,,,,,,,,,,,,1,1,,,,,2,1,2,,,,,,,1,,,,,1,,,,,,,,1,,,Male,40-44 years    (42.0),"White, Non-Hispanic",HS grad,"$75,000 to $84,999  (80)",Divorced,Your name only/Your name with someone else's name (jointly owned or rented),One,One,None,None,None,None,,No,No,No,No,No,No,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house attached to one or more houses,Yes,South,40,0.754980028,0.75498,Heterosexual or straight,Yes,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
8,8,0,4,2,0,0,6,0,2,1,4,2,0,0,0,2,1,0,0,0,1,0,3,10,0,1,5,25,15,2,5,25,5,2,0,2,0,2,0,0,5,2,3,,1,,,,,,1,,,Female,60-64 years    (62.0),"White, Non-Hispanic",Master's degree,"$175,000 or more  (175)",Married,Your name only/Your name with someone else's name (jointly owned or rented),Two,Two,None,None,None,None,,No,No,No,No,No,No,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,NorthEast,64,0.835839987,0.83584,Heterosexual or straight,Yes,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
9,0,0,1,4,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,2,0,2,1,3,2,3,0,1,1,1,5,2,0,0,0,1,1,1,1,1,0,2,0,1,0,0,0,1,1,1,2,0,Male,35-39 years    (37.0),"White, Non-Hispanic",Less than HS graduate,"$40,000 to $49,999  (45)",Married,Your name only/Your name with someone else's name (jointly owned or rented),Four,Two,Two,None,None,None,Two,Yes,Yes,No,No,Yes,No,Working - as a paid employee,Rented for cash,A one-family house detached from any other house,Yes,MidWest,36,0.840879977,0.84088,Heterosexual or straight,Yes,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
10,3,2,2,2,1,2,1,0,2,0,1,1,0,2,1,2,1,0,3,0,1,0,0,2,0,1,5,0,2,0,2,5,25,0,0,1,0,2,0,0,1,3,1,0,0,0,1,0,2,1,1,0,0,Female,50-54 years    (52.0),"White, Non-Hispanic",Bachelor's degree,"$50,000 to $59,999  (55)",Divorced,Your name only/Your name with someone else's name (jointly owned or rented),One,One,None,None,None,None,,No,No,No,No,No,No,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,MidWest,50,0.614830017,0.61483,Heterosexual or straight,Yes,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
