"","ID","Degree Names"
"1",217000473,368
"2",217000569,1390
"3",217000861,220
"4",217000863,673
"5",217000879,487
"6",217000909,166
"7",217000944,278
"8",217000953,1598
"9",217000954,1904
"10",217000959,290
"11",217000985,216
"12",217001020,221
"13",217001053,198
"14",217001075,408
"15",217001120,230
"16",217001127,248
"17",217001135,359
"18",217001141,653
"19",217001168,307
"20",217001204,1065
"21",217001205,833
"22",217001228,653
"23",217001275,489
"24",217001279,283
"25",217001304,859
"26",217001314,549
"27",217001319,673
"28",217001329,630
"29",217001376,398
"30",217001381,160
"31",217001408,334
"32",217001426,526
"33",217001436,751
"34",217001441,201
"35",217001443,316
"36",217001469,562
"37",217001477,245
"38",217001529,399
"39",217001565,455
"40",217001584,381
"41",217001587,265
"42",217001693,392
"43",217001711,387
"44",217001752,422
"45",217001900,432
"46",217001901,204
"47",217001909,268
"48",217002039,381
"49",217002136,346
"50",217002140,977
"51",217002158,282
"52",217002159,208
"53",217002168,575
"54",217002173,298
"55",217002264,845
"56",217002283,285
"57",217002310,559
"58",217002316,834
"59",217002347,694
"60",217002410,847
"61",217002440,527
"62",217002485,403
"63",217002510,238
"64",217002534,614
"65",217002551,318
"66",217002588,463
"67",217002594,433
"68",217002644,279
"69",217002654,825
"70",217002660,770
"71",217002662,442
"72",217002693,518
"73",217002717,459
"74",217002725,537
"75",217002750,252
"76",217002752,423
"77",217002759,631
"78",217002803,423
"79",217002815,543
"80",217002823,378
"81",217002836,580
"82",217002879,421
"83",217002881,251
"84",217002890,338
"85",217002896,262
"86",217002900,1006
"87",217002904,778
"88",217002912,250
"89",217002959,348
"90",217002966,479
"91",217003014,329
"92",217003044,437
"93",217003056,889
"94",217003059,286
"95",217003090,179
"96",217003131,997
"97",217003183,400
"98",217003214,1111
"99",217003223,598
"100",217003288,373
"101",217003311,457
"102",217003312,520
"103",217003340,1033
"104",217003350,295
"105",217003361,290
"106",217003389,249
"107",217003415,518
"108",217003444,474
"109",217003455,454
"110",217003483,1159
"111",217003486,153
"112",217003498,605
"113",217003499,401
"114",217003505,220
"115",217003528,248
"116",217003552,476
"117",217003569,959
"118",217003574,419
"119",217003588,158
"120",217003602,184
"121",217003642,383
"122",217003684,447
"123",217003690,198
"124",217003715,556
"125",217003726,417
"126",217003727,789
"127",217003758,246
"128",217003760,283
"129",217003779,239
"130",217003833,255
"131",217003838,383
"132",217003867,403
"133",217003873,269
"134",217003908,577
"135",217003925,587
"136",217003954,291
"137",217004010,241
"138",217004075,288
"139",217004099,1092
"140",217004102,661
"141",217004121,360
"142",217004140,652
"143",217004141,280
"144",217004176,152
"145",217004213,337
"146",217004221,357
"147",217004269,210
"148",217004287,750
"149",217004334,176
"150",217004362,1056
"151",217004390,468
"152",217004642,1091
"153",217004713,153
"154",217004752,1527
"155",217004780,902
"156",217004793,227
"157",217004802,627
"158",217004870,874
"159",217004877,248
"160",217004896,184
"161",217004902,1090
"162",217004944,1157
"163",217004972,1928
"164",217004974,311
"165",217005002,236
"166",217005026,1278
"167",217005041,175
"168",217005049,158
"169",217005067,912
"170",217005130,563
"171",217005225,400
"172",217005280,187
"173",217005325,175
"174",217005384,975
"175",217005407,195
"176",217005415,316
"177",217005428,238
"178",217005458,357
"179",217005523,703
"180",217005556,421
"181",217005585,242
"182",217005653,595
"183",217005687,1525
"184",217005699,441
"185",217005702,243
"186",217005780,335
"187",217005828,241
"188",217005838,236
"189",217005855,603
"190",217005892,418
"191",217005900,211
"192",217005916,417
"193",217005926,449
"194",217005940,622
"195",217005957,714
"196",217006055,502
"197",217006096,1768
"198",217006106,252
"199",217006244,532
"200",217006277,203
"201",217006279,640
"202",217006289,663
"203",217006304,302
"204",217006344,413
"205",217006349,664
"206",217006365,540
"207",217006367,435
"208",217006376,575
"209",217006381,640
"210",217006392,928
"211",217006398,392
"212",217006399,355
"213",217006412,566
"214",217006502,521
"215",217006546,176
"216",217006568,453
"217",217006629,629
"218",217006630,404
"219",217006639,1079
"220",217006674,437
"221",217006703,427
"222",217006711,472
"223",217006756,378
"224",217006774,263
"225",217006778,4739
"226",217006801,468
"227",217006851,186
"228",217006904,912
"229",217006914,212
"230",217006943,1107
"231",217006966,972
"232",217006972,354
"233",217006982,687
"234",217006988,510
"235",217007016,315
"236",217007124,246
"237",217007131,608
"238",217007170,292
"239",217007189,658
"240",217007217,354
"241",217007240,771
"242",217007352,685
"243",217007359,183
"244",217007365,373
"245",217007379,428
"246",217007381,407
"247",217007396,1039
"248",217007437,913
"249",217007485,177
"250",217007520,285
"251",217007530,613
"252",217007559,444
"253",217007570,556
"254",217007572,149
"255",217007654,472
"256",217007656,256
"257",217007728,213
"258",217007746,230
"259",217007756,375
"260",217007759,759
"261",217007777,338
"262",217007793,1219
"263",217007829,507
"264",217007858,549
"265",217007859,281
"266",217007896,536
"267",217007909,427
"268",217007913,351
"269",217007953,299
"270",217008048,809
"271",217008117,388
"272",217008128,455
"273",217008131,672
"274",217008132,356
"275",217008137,490
"276",217008144,552
"277",217008170,3518
"278",217008172,912
"279",217008198,456
"280",217008242,637
"281",217008327,818
"282",217008346,676
"283",217008360,545
"284",217008365,473
"285",217008388,513
"286",217008390,702
"287",217008451,723
"288",217008500,361
"289",217008511,2247
"290",217008545,224
"291",217008568,713
"292",217008587,741
"293",217008599,462
"294",217008627,357
"295",217008640,447
"296",217008665,553
"297",217008689,1189
"298",217008692,279
"299",217008700,340
"300",217008708,487
"301",217008795,352
"302",217008836,457
"303",217008842,452
"304",217008852,320
"305",217008864,403
"306",217008894,364
"307",217008901,513
"308",217008934,202
"309",217008942,573
"310",217008963,161
"311",217008966,503
"312",217008975,250
"313",217009019,271
"314",217009051,304
"315",217009058,224
"316",217009102,384
"317",217009122,362
"318",217009135,861
"319",217009147,289
"320",217009155,204
"321",217009170,599
"322",217009356,952
"323",217009359,667
"324",217009368,572
"325",217009451,275
"326",217009480,785
"327",217009568,1026
"328",217009627,286
"329",217009703,828
"330",217009816,325
"331",217009822,240
"332",217009831,494
"333",217009923,405
"334",217010031,465
"335",217010036,341
"336",217010039,591
"337",217010132,373
"338",217010135,264
"339",217010136,223
"340",217010180,647
"341",217010206,1287
"342",217010293,280
"343",217010335,415
"344",217010401,747
"345",217010413,598
"346",217010429,300
"347",217010451,608
"348",217010456,454
"349",217010525,328
"350",217010533,410
"351",217010555,283
"352",217010562,240
"353",217010562,328
"354",217010570,270
"355",217010571,622
"356",217010579,232
"357",217010626,313
"358",217010632,638
"359",217010639,407
"360",217010667,1000
"361",217010699,318
"362",217010713,379
"363",217010722,277
"364",217010730,469
"365",217010753,776
"366",217010761,902
"367",217010799,396
"368",217010832,899
"369",217010833,250
"370",217010882,627
"371",217010912,943
"372",217010948,226
"373",217010970,713
"374",217011012,211
"375",217011066,671
"376",217011119,409
"377",217011124,532
"378",217011127,284
"379",217011154,242
"380",217011195,475
"381",217011206,532
"382",217011293,387
"383",217011307,284
"384",217011307,730
"385",217011325,247
"386",217011339,283
"387",217011382,189
"388",217011433,847
"389",217011436,385
"390",217011504,411
"391",217011514,152
"392",217011551,247
"393",217011555,763
"394",217011664,868
"395",217011693,565
"396",217011719,355
"397",217011720,531
"398",217011808,781
"399",217011813,901
"400",217011819,1034
"401",217011835,550
"402",217011850,678
"403",217011857,532
"404",217011863,581
"405",217011864,378
"406",217011893,179
"407",217011916,185
"408",217011940,328
"409",217011969,454
"410",217011998,582
"411",217012028,382
"412",217012046,390
"413",217012078,483
"414",217012092,1672
"415",217012200,493
"416",217012215,389
"417",217012221,176
"418",217012242,360
"419",217012243,617
"420",217012354,156
"421",217012354,481
"422",217012364,829
"423",217012365,898
"424",217012381,154
"425",217012393,220
"426",217012397,498
"427",217012465,632
"428",217012474,508
"429",217012498,195
"430",217012534,363
"431",217012535,320
"432",217012587,355
"433",217012608,422
"434",217012643,366
"435",217012776,406
"436",217012786,175
"437",217012943,312
"438",217012959,460
"439",217013007,431
"440",217013037,657
"441",217013086,220
"442",217013234,678
"443",217013255,405
"444",217013276,417
